IDind,daily_calories_2000,daily_calories_2011,height_cm_2000,height_cm_2011,age_2000,age_2011
322103003003,2152.2690713333327,1921.0474113333332,149.0,165.0,14.0,25.0
322103003004,2161.1952459999998,1822.2054643333333,151.0,165.0,12.0,23.0
322103005003,2754.6049816666673,2343.7233553333335,165.0,171.0,15.0,26.0
322103008003,2060.024157429753,1666.7207333333336,155.0,172.0,13.0,24.0
322103010004,2338.088846,1496.526471,157.0,168.0,13.0,24.0
322103011004,2914.097801666667,2514.8199603333337,171.0,175.0,18.0,29.0
322103016021,969.0208383333332,2752.2383566666667,137.0,175.0,10.0,21.0
322103017062,830.2250383333334,971.4761408333334,78.0,145.0,1.0,12.0
322103061003,627.9820916666666,1664.6732231111112,96.0,158.0,3.0,14.0
322104061003,1238.9390843333333,2691.4628915439066,,158.0,2.0,13.0
322105003003,1052.6405473333334,1862.5030024999999,,173.0,5.0,16.0
322105007006,758.4130346666667,2183.800997083333,86.0,165.0,1.0,12.0
322105008003,2001.429291166667,2266.9078623333335,153.0,161.0,11.0,22.0
322105010003,1323.0609633333333,2384.6227998333334,120.0,171.2,7.0,18.0
322105011004,2703.354823166667,3387.2081737469575,180.0,163.0,18.0,29.0
322105012002,1180.1620187500002,2105.98031875,,160.0,3.0,14.0
322105016005,2275.6193083333333,3335.2174444166662,162.0,170.0,14.0,25.0
322105017005,1150.4272983333333,2339.46615625,,177.0,2.0,13.0
322202031003,2039.7025495555554,3613.509281,131.4,173.0,8.0,19.0
322202064003,683.2439745833334,4113.639343240739,,168.0,3.0,14.0
322203042006,1324.5546963333334,1631.9774736666666,120.5,176.0,6.0,17.0
322204003005,2008.6850000000002,3000.632431,151.5,167.5,13.0,24.0
322302001021,1223.4668383333335,1942.8127120000001,130.4,152.3,9.0,20.0
322302009003,2258.316713333333,1796.0417191111112,153.1,156.6,16.0,27.0
322302011042,1028.8372563333332,2816.8286371727213,95.5,167.9,3.0,14.0
322302015021,2293.737932777778,2825.0814840555554,130.6,172.4,10.0,21.0
322302016003,2530.7500686666667,1847.039616666667,146.0,168.4,12.0,22.0
322302019003,2242.2532135555557,2630.259636666666,141.4,145.0,12.0,23.0
322302061003,1566.4882203333334,2545.673846944123,85.0,157.6,2.0,13.0
322303008022,2083.761521666667,2704.1843956666667,134.9,171.2,10.0,21.0
322303031003,2007.6457054444445,2408.474293777778,135.0,185.5,7.0,18.0
322305001003,1502.2281533333332,2354.194029111111,106.1,170.4,5.0,16.0
322305001004,1760.6073080555554,2072.9762366666664,109.1,177.5,5.0,16.0
322305007003,1968.941918888889,2148.4719999999998,119.4,163.2,6.0,17.0
322305008003,1830.898363333333,1424.0111399999998,118.0,172.0,6.0,16.0
322305012003,2588.5031516666663,1769.2763069999999,153.0,155.4,15.0,26.0
