.rownames,country_code,country_name,services,agriculture,industrial,manufacturing,resources,exports,imports,military,.fittedPC1,.fittedPC2,pc1
26,ECU,Ecuador,53.2743964102975,9.84273075607443,30.7257403995145,16.5090990409173,2.92430668533391,21.8579265957348,19.5173034802184,2.53154058669661,0.14932257681240754,-0.5087860101208523,-0.14932257681240754
27,EGY,"Egypt, Arab Rep.",51.7605072092229,11.5676091272417,32.0091448983775,16.3775913663535,3.25774327235436,13.1067463706234,20.6524338172502,1.2241723725415,0.39592053458011967,-0.9420488031789784,-0.39592053458011967
28,GNQ,Equatorial Guinea,51.506529000777,2.91312442239414,45.4313776860657,20.0991788325895,16.6815988795919,43.4867314883318,45.9406385860181,1.51052671513085,-1.7602566575527958,-0.7380689695273976,1.7602566575527958
29,EST,Estonia,62.9753152578072,2.05033085403078,22.7794505745534,12.834008047047,1.43024326219824,69.2738629866934,69.1924757132555,2.36376756638367,-1.1146252416803883,1.9109103527009847,1.1146252416803883
30,SWZ,Eswatini,53.7871957708998,8.11843772304706,31.3768287748946,26.5245286801057,3.38164464300091,44.916525846412,41.9679793111403,1.83502376885451,-0.7937132076598747,0.33955219112065516,0.7937132076598747
31,ETH,Ethiopia,36.8280720006566,35.5582693458206,23.1022948090627,5.30328086816582,5.49770060254135,7.12720094276697,16.878912700715,0.525800408815241,1.2759183179663487,-0.5265893037278091,-1.2759183179663487
32,FJI,Fiji,53.4373930518226,14.5022929909741,16.8730487385064,10.9355538187057,1.45148578020456,27.5196049264609,44.2171594593268,1.7185324575016,0.9368033833728733,0.7185386554218256,-0.9368033833728733
33,GAB,Gabon,44.8971967106191,6.62814684727239,41.5890781935188,18.4294153538256,13.4988249621846,47.5047621419628,22.5552344452796,1.71026113495202,-1.6369110982424995,-0.3025710757033837,1.6369110982424995
34,GMB,"Gambia, The",53.9537064155422,21.2440052017636,16.8536853891411,2.61338378758132,3.03439304457224,9.62179188685386,37.8785731385365,0.828282146717653,1.6334332250628367,0.024725117105542926,-1.6334332250628367
35,GHA,Ghana,45.1881802779536,18.8537826617709,29.8767542339128,10.9530558484648,8.48657958474163,20.7210460973151,17.7958155639978,0.446156223059299,0.2552239208356897,-0.49120651633635126,-0.2552239208356897
36,GTM,Guatemala,62.2169747907418,9.89588321197133,22.1643688014585,14.1176475237977,1.35250209053897,16.3279691327059,24.8306699906435,0.483220755707797,0.9867325206737421,-0.10098680859820819,-0.9867325206737421
37,GIN,Guinea,37.2697022959569,25.8219861815446,28.5336042668235,9.72219141153172,4.8276880509577,64.3152396862667,68.0672726673565,1.43889936596927,-1.3404693383080177,1.2998412608873282,1.3404693383080177
38,GNB,Guinea-Bissau,50.1877199369009,30.8632447518505,13.4801601747361,NA,11.1515860354561,14.3870438781701,29.248796493144,1.73615260258345,1.693663308946779,0.45515758665105344,-1.693663308946779
39,HND,Honduras,58.3418127285168,12.1171809163756,25.950158911833,16.0288055867036,1.23326098347167,35.0945890759895,50.524829034906,1.44438287553988,-0.017549279635176357,0.35267054865850556,0.017549279635176357
40,IND,India,48.4368567725012,18.2289275679865,24.5310661885805,13.6833852894253,1.78466920695081,18.7088986865588,19.0964548921918,2.88463275049303,0.7221356073623242,-0.18061432206787437,-0.7221356073623242
41,IDN,Indonesia,44.3959193594644,13.7024660064027,38.2516051688632,19.8732881343087,2.43866732275102,17.2714213388682,15.7041742336216,0.859788806116358,-0.21981935885258752,-1.2342438743108235,0.21981935885258752
42,IRN,"Iran, Islamic Rep.",49.19528089213,12.2129981052409,36.1405561421958,21.1394869566356,23.2391718001181,19.4246089315582,24.3855556612928,2.16179217744462,-0.14993684351652525,-0.9970847521881073,0.14993684351652525
43,IRQ,Iraq,54.2909210809973,5.97488228338059,41.2586384237154,2.70800775329716,27.4170131896725,27.2218072972819,29.4330742448105,3.26514431330443,-0.8250106729504039,-1.0664106711804053,0.8250106729504039
44,KAZ,Kazakhstan,56.1027808941057,5.3912826934481,33.0977971542858,13.0725321801007,12.8406951964892,30.5289067989681,26.4975355671251,0.942397594731951,-0.3599944733974246,-0.344472880203623,0.3599944733974246
45,KEN,Kenya,53.9210961816657,22.6210088545818,17.4044520575429,7.61164998170032,1.26881196888613,9.63953268531996,17.5943665352312,1.11393270727533,1.59269095881475,-0.014638903893885447,-1.59269095881475
46,KGZ,Kyrgyz Republic,49.7952129564257,13.5743343984907,29.2020392133665,14.4560760080708,6.52758010092793,31.3070363362618,52.1642756151629,1.83852557307248,-0.1069107354254299,-0.030937898187283423,0.1069107354254299
47,LVA,Latvia,63.4223326729725,4.33640010767793,19.5078867810489,10.9914077172593,1.27458711674516,59.8993432537649,58.931720739175,2.25501508599227,-0.512565515266234,1.7846833954547903,0.512565515266234
48,LSO,Lesotho,49.3054085629365,4.78413761009429,35.1435090590491,14.4246371439291,4.55548495060365,39.7165589371598,87.8955799942689,1.61956446369124,-0.8656484785497554,-0.13635755135528044,0.8656484785497554
49,MDG,Madagascar,50.3929947592946,24.6929443979329,19.4661871057193,9.72498440591811,5.65950524677075,20.1420748831987,28.8686324818304,0.738679821916371,1.034796191219245,0.24338670045552546,-1.034796191219245
50,MYS,Malaysia,54.7633286318759,8.16854724964739,35.9571227080395,22.2520451339915,4.54156531962687,61.5992242595204,55.2293370944993,1.00703187159361,-1.7748255970786273,0.6544834869172318,1.7748255970786273
51,MLI,Mali,34.4264645385625,36.1880449703943,21.1573788531585,6.78642564906927,9.46967710138959,30.6566300509484,36.3339442292221,3.32814481260475,0.5033816374637895,0.5288257809600148,-0.5033816374637895
52,MRT,Mauritania,40.6792469084707,19.617851905039,32.4141193720701,6.00520292211559,2.43870903966116,40.6618529763678,53.9940734735715,2.45166359356945,-0.7038793157519272,0.0988495133843918,0.7038793157519272
53,MEX,Mexico,60.1260596729735,3.79555461107758,29.7967416253308,17.372777563215,1.55983378352436,39.4771444787025,37.4232092321933,0.749200161725065,-0.467518239915167,0.24317308250619601,0.467518239915167
54,MNG,Mongolia,40.4904557976659,12.9656563032859,37.0496708510144,7.7561646851732,13.4736928829141,57.6603497333803,55.1782978958072,0.765310217022435,-1.7012770274449898,0.4220291947807261,1.7012770274449898
55,MOZ,Mozambique,41.8989349122735,26.2320014321278,21.6226912800842,7.92008071746635,11.8639361284365,29.58964629394,66.339016229659,2.02060472751337,0.510988802022057,0.4535412258303276,-0.510988802022057
56,MMR,Myanmar,40.4870384809968,20.9337779202196,38.5791835987836,NA,4.66301426840348,28.652047116773,26.452082209526,2.95459077983316,-0.6857101073655738,-0.8159977878821262,0.6857101073655738
57,NAM,Namibia,58.9224799982475,9.16003166922781,25.7997490958864,11.0106137027615,1.93029383948291,33.4167716118874,41.7225012722559,3.22712973053882,0.05856195379543758,0.2984356788720947,-0.05856195379543758
58,NIC,Nicaragua,48.7969129904711,15.5599715913691,25.815302258116,13.5378230382892,1.65812864181366,42.1845034157446,47.2152370200549,0.665087016561706,-0.28314241550675684,0.6378779176703017,0.28314241550675684
59,NER,Niger,36.0941772203699,38.3769159852612,20.2394848712722,7.39024568847955,5.56826403591678,10.2855092327417,25.7763964066285,2.43423831669118,1.3614279315942963,-0.19571737437468661,-1.3614279315942963
60,NGA,Nigeria,46.3861274680481,24.1433058676092,28.2205055170115,12.6672651648325,5.07484002483035,8.11831195360427,8.23387544417195,0.627907834927415,0.8652104412987458,-0.8602998544751786,-0.8652104412987458
61,NOR,Norway,60.3208598172824,1.80538992651593,26.0338159845813,6.5093263280924,4.18128689630728,32.2452592790462,33.0852196473199,2.0060349499773,0.08704618052432264,0.23590758112368265,-0.08704618052432264
62,OMN,Oman,55.0241326294833,2.46933965497997,47.1477968290677,8.35614570205202,18.8866635649826,47.0559509732967,44.8197494245021,9.84703339884194,-2.0237215644070763,-0.7242487358074464,2.0237215644070763
63,PAK,Pakistan,53.680280706041,21.8541325548966,18.5894635445816,11.4160734292379,1.12387026995965,9.29855904268724,17.4177214167425,4.03174261934826,1.5197586914676877,-0.11406069502277028,-1.5197586914676877
64,PRY,Paraguay,48.1546300468675,11.0834607938365,33.8488287103024,18.7044275348216,1.68263325547904,33.6054991612435,29.4891512735788,1.0207136780028,-0.5341183743612934,-0.27958280366996346,0.5341183743612934
65,PER,Peru,54.3798825146573,7.70251042998047,30.154665864706,12.1925443194376,3.97961448773443,22.3808017431295,21.1492058178084,1.35047593045296,0.17054202560049703,-0.4469454929566507,-0.17054202560049703
66,QAT,Qatar,52.7438680390161,0.338750393788988,52.3334307302059,7.91126041083111,20.2259593186526,49.1188782621275,40.9002166251587,NA,-2.480966200056341,-1.0212288974764872,2.480966200056341
67,RUS,Russian Federation,56.0937231168784,3.9992487281832,29.806223878696,13.4231660990477,7.58812544004463,25.5825633068107,20.4483023068266,4.26344983553312,0.07151255265629367,-0.2972368569080294,-0.07151255265629367
68,RWA,Rwanda,46.6056861124288,26.6308748641178,18.6440794410633,8.74161480946205,4.10481845130795,19.3070459698362,35.8269448026158,1.44748032838312,1.1270177559616956,0.27073662852765634,-1.1270177559616956
69,SAU,Saudi Arabia,53.9032724265794,2.54190509866685,40.1051735391502,12.1152484630434,17.3184270283149,26.1829049524404,25.8936838998287,9.22107521544371,-0.7007727253704361,-1.022882857551504,0.7007727253704361
